NOMBRE_PRODUCTO,CANTIDAD,FECHA_CADUCIDAD
Tafirol,29,15/12/2023
Ibupirac,15,20/11/2023
Bayaspirina,7,10/10/2023
Paracetamol,20,05/01/2024
Aspirina,8,25/11/2023
Strepsils,12,18/02/2024
Vicks VapoRub,6,01/12/2023
Halls,13,22/10/2023
Benadryl,18,10/12/2023
Nasonex,17,25/11/2023
Flanax,25,02/03/2024
Advil,17,10/01/2024
Sudafed,12,05/10/2023
Robitussin,15,18/12/2023
Nyquil,19,28/11/2023
Vicodin,14,10/03/2024
DayQuil,15,15/01/2024
Zyrtec,22,15/10/2023
Delsym,20,22/12/2023
Motrin,11,05/12/2023
Actifed,16,30/11/2023
Ricola,10,28/02/2024
Cepacol,18,08/12/2023
Mucinex,19,22/11/2023
Theraflu,18,10/04/2024
Sambucol,13,14/12/2023
Luden's,26,15/11/2023
Aleve,9,01/03/2024
Zantac,28,15/03/2024
Pepto-Bismol,15,20/10/2023
Imodium,21,30/12/2023
Gas-X,12,10/11/2023
Maalox,19,12/02/2024
Cortizone,14,18/01/2024
BenGay,11,28/10/2023
Tiger Balm,20,10/12/2023
Neosporin,8,22/01/2024
Band-Aid,16,05/11/2023
Calamine Lotion,16,20/02/2024
Visine,32,25/12/2023
Vaseline,10,30/01/2024
Ambien,13,08/11/2023
Melatonin,9,14/02/2024
Valerian Root,11,12/10/2023
Tafirol,13,25/03/2024
Ibupirac,15,10/02/2024
Paracetamol,22,15/12/2023
Aspirina,13,20/11/2023
Flanax,18,08/01/2024
Sudafed,10,15/03/2024
Nyquil,14,10/10/2023
Vicodin,15,05/12/2023
Motrin,8,18/11/2023
Ricola,11,12/02/2024
Mucinex,16,22/12/2023
Luden's,9,28/11/2023
Aleve,14,05/03/2024
Zantac,27,20/01/2024
Imodium,12,15/10/2023
Neosporin,20,18/12/2023
Band-Aid,5,28/02/2024
Visine,8,10/12/2023
Vicks VapoRub,16,01/12/2023
Valerian Root,11,12/10/2023
Aleve,14,05/03/2024
Imodium,12,15/10/2023
Calamine Lotion,16,20/02/2024
Zantac,10,10/01/2024
